Code	Strata	Date	Area	Trap	Temperature	Samp.day
C5NF5_42762	Canopy	01/27/17	NF5	Can5	19.3	5
C1NF6_42762	Canopy	01/27/17	NF6	Can1	15.5	5
C2NF6_42762	Canopy	01/27/17	NF6	Can2	15.9	5
C3NF6_42762	Canopy	01/27/17	NF6	Can3	15.5	5
C4NF6_42762	Canopy	01/27/17	NF6	Can4	15.1	5
C5NF6_42762	Canopy	01/27/17	NF6	Can5	21.0	5
U1NF4_42762	Understory	01/27/17	NF4	Und1	17.1	5
U2NF4_42762	Understory	01/27/17	NF4	Und2	18.0	5
U3NF4_42762	Understory	01/27/17	NF4	Und3	16.7	5
U4NF4_42762	Understory	01/27/17	NF4	Und4	17.0	5
U5NF4_42762	Understory	01/27/17	NF4	Und5	16.4	5
U1NF5_42762	Understory	01/27/17	NF5	Und1	20.5	5
U2NF5_42762	Understory	01/27/17	NF5	Und2	16.5	5
U3NF5_42762	Understory	01/27/17	NF5	Und3	16.4	5
U4NF5_42762	Understory	01/27/17	NF5	Und4	15.8	5
U5NF5_42762	Understory	01/27/17	NF5	Und5	16.4	5
U1NF6_42762	Understory	01/27/17	NF6	Und1	14.1	5
U2NF6_42762	Understory	01/27/17	NF6	Und2	14.0	5
U3NF6_42762	Understory	01/27/17	NF6	Und3	15.0	5
U4NF6_42762	Understory	01/27/17	NF6	Und4	14.8	5
U5NF6_42762	Understory	01/27/17	NF6	Und5	15.1	5
C1NF1_42763	Canopy	01/28/17	NF1	Can1	17.4	5
C2NF1_42763	Canopy	01/28/17	NF1	Can2	17.2	5
C3NF1_42763	Canopy	01/28/17	NF1	Can3	18.0	5
C4NF1_42763	Canopy	01/28/17	NF1	Can4	20.5	5
C5NF1_42763	Canopy	01/28/17	NF1	Can5	19.0	5
C1NF2_42763	Canopy	01/28/17	NF2	Can1	20.1	5
C2NF2_42763	Canopy	01/28/17	NF2	Can2	19.6	5
C3NF2_42763	Canopy	01/28/17	NF2	Can3	20.2	5
