"Code" "Subfamily" "Tribe" "Genus" "Species" "Abundance" "Strata" "Date" "SU" "Trap" "Temperature" "Samp.day" "Month" "Sites"
"64" "C2NF1_42713" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-09 "NF1" "Can2" 13.5 1 "December" "C2NF1D"
"65" "C2NF1_42715" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-11 "NF1" "Can2" 22.9 2 "December" "C2NF1D"
"66" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"67" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"68" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"69" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"70" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"71" "C2NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can2" 20.7 3 "December" "C2NF1D"
"72" "C2NF1_42719" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-15 "NF1" "Can2" 15 4 "December" "C2NF1D"
"73" "C2NF1_42719" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-15 "NF1" "Can2" 15 4 "December" "C2NF1D"
"74" "C2NF1_42755" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-20 "NF1" "Can2" 18.6 1 "January" "C2NF1J"
"75" "C2NF1_42757" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-22 "NF1" "Can2" 17 2 "January" "C2NF1J"
"76" "C2NF1_42789" "Satyrinae" "Satyrini" "Euptychoides" "Euptychoides_castrensis" 1 "Canopy" 2017-02-23 "NF1" "Can2" 20.6 3 "February" "C2NF1F"
"77" "C2NF1_42789" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2017-02-23 "NF1" "Can2" 20.6 3 "February" "C2NF1F"
"78" "C2NF2_42676" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2016-11-02 "NF2" "Can2" 20.5 1 "November" "C2NF2N"
"79" "C2NF2_42681" "Charaxinae" "Anaeini" "Memphis" "Memphis_hirta" 1 "Canopy" 2016-11-07 "NF2" "Can2" 16.5 4 "November" "C2NF2N"
"80" "C2NF2_42681" "Charaxinae" "Anaeini" "Memphis" "Memphis_hirta" 1 "Canopy" 2016-11-07 "NF2" "Can2" 16.5 4 "November" "C2NF2N"
"81" "C2NF2_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF2" "Can2" 24.4 3 "December" "C2NF2D"
"82" "C2NF2_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF2" "Can2" 24.4 3 "December" "C2NF2D"
"83" "C2NF2_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF2" "Can2" 24.4 3 "December" "C2NF2D"
"84" "C2NF2_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF2" "Can2" 24.4 3 "December" "C2NF2D"
"85" "C2NF2_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF2" "Can2" 24.4 3 "December" "C2NF2D"
"86" "C2NF2_42785" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-19 "NF2" "Can2" 26 1 "February" "C2NF2F"
"87" "C2NF2_42791" "Charaxinae" "Preponini" "Prepona" "Prepona_pylene" 1 "Canopy" 2017-02-25 "NF2" "Can2" 21.5 4 "February" "C2NF2F"
"88" "C2NF2_42813" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-19 "NF2" "Can2" NA 1 "March" "C2NF2M"
"89" "C2NF2_42813" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-19 "NF2" "Can2" NA 1 "March" "C2NF2M"
"90" "C2NF2_42817" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-23 "NF2" "Can2" 18.3 3 "March" "C2NF2M"
"91" "C2NF3_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF3" "Can2" 28 3 "December" "C2NF3D"
"92" "C2NF3_42717" "Satyrinae" "Satyrini" "Taygetis" "Taygetis_ypthima" 1 "Canopy" 2016-12-13 "NF3" "Can2" 28 3 "December" "C2NF3D"
"93" "C2NF3_42757" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_hubneri" 1 "Canopy" 2017-01-22 "NF3" "Can2" 26.6 2 "January" "C2NF3J"
"94" "C2NF3_42759" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_orea" 1 "Canopy" 2017-01-24 "NF3" "Can2" 31.8 3 "January" "C2NF3J"
"95" "C2NF3_42785" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-19 "NF3" "Can2" 26.2 1 "February" "C2NF3F"
"96" "C2NF3_42787" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2017-02-21 "NF3" "Can2" 33.4 2 "February" "C2NF3F"
"97" "C2NF3_42815" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2017-03-21 "NF3" "Can2" 22.8 2 "March" "C2NF3M"
"98" "C2NF3_42817" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_pronophila" 1 "Canopy" 2017-03-23 "NF3" "Can2" 16.3 3 "March" "C2NF3M"
"99" "C2NF3_42817" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-23 "NF3" "Can2" 16.3 3 "March" "C2NF3M"
"100" "C2NF4_42675" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2016-11-01 "NF4" "Can2" 13.7 1 "November" "C2NF4N"
"101" "C2NF4_42675" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2016-11-01 "NF4" "Can2" 13.7 1 "November" "C2NF4N"
"102" "C2NF4_42679" "Charaxinae" "Anaeini" "Memphis" "Memphis_moruus" 1 "Canopy" 2016-11-05 "NF4" "Can2" 24.3 3 "November" "C2NF4N"
"103" "C2NF4_42679" "Charaxinae" "Anaeini" "Memphis" "Memphis_moruus" 1 "Canopy" 2016-11-05 "NF4" "Can2" 24.3 3 "November" "C2NF4N"
"104" "C2NF4_42756" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-21 "NF4" "Can2" 28.5 2 "January" "C2NF4J"
"105" "C2NF4_42756" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-21 "NF4" "Can2" 28.5 2 "January" "C2NF4J"
"106" "C2NF4_42758" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_orea" 1 "Canopy" 2017-01-23 "NF4" "Can2" 30.5 3 "January" "C2NF4J"
"107" "C2NF4_42758" "Satyrinae" "Brassolini" "Blepolenis" "Blepolenis_batea" 1 "Canopy" 2017-01-23 "NF4" "Can2" 30.5 3 "January" "C2NF4J"
"108" "C2NF4_42758" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-23 "NF4" "Can2" 30.5 3 "January" "C2NF4J"
"109" "C2NF4_42758" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-23 "NF4" "Can2" 30.5 3 "January" "C2NF4J"
"110" "C2NF4_42784" "Charaxinae" "Anaeini" "Memphis" "Memphis_moruus" 1 "Canopy" 2017-02-18 "NF4" "Can2" 25.2 1 "February" "C2NF4F"
"111" "C2NF4_42784" "Biblidinae" "Epiphilini" "Epiphile" "Epiphile_hubneri" 1 "Canopy" 2017-02-18 "NF4" "Can2" 25.2 1 "February" "C2NF4F"
"112" "C2NF4_42786" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-20 "NF4" "Can2" 29.1 2 "February" "C2NF4F"
"113" "C2NF4_42816" "Satyrinae" "Satyrini" "Paryphthimoides" "Paryphthimoides_grimon" 1 "Canopy" 2017-03-22 "NF4" "Can2" 24.5 2 "March" "C2NF4M"
"114" "C2NF4_42816" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_amphimachus" 1 "Canopy" 2017-03-22 "NF4" "Can2" 24.5 2 "March" "C2NF4M"
"115" "C2NF4_42818" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-03-24 "NF4" "Can2" 23 3 "March" "C2NF4M"
